,player_id,targets,deep_targets,red_zone_targets,air_yards,air_yards_per_target,yac,yac_oe,carries,yards_per_carry,red_zone_carries,big_carries,cpoe,big_carry_percentage,player_name,team,targets_team,carries_team,red_zone_targets_team,red_zone_carries_team,target_percentage,carry_percentage,red_zone_target_percentage,red_zone_carry_percentage
120,00-0034972,19.0,,1.0,-1.0,-0.05263157894736842,119.0,-2.726193938891809,70.0,3.9,3.0,5.0,,0.07142857142857142,A.Mattison,MIN,263,193,12,11,0.07224334600760456,0.3626943005181347,0.08333333333333333,0.2727272727272727
121,00-0033893,20.0,,,-38.0,-1.9,97.0,-3.6190374221041592,99.0,4.530612244897959,5.0,18.0,,0.18181818181818182,D.Cook,MIN,263,193,12,11,0.07604562737642585,0.5129533678756477,,0.45454545454545453
122,00-0034270,37.0,1.0,2.0,183.0,4.945945945945946,141.0,-6.526066891019584,,,,,,,T.Conklin,MIN,263,193,12,11,0.14068441064638784,,0.16666666666666666,
123,00-0036345,38.0,2.0,,283.0,7.447368421052632,114.0,-15.5435499516243,1.0,10.0,,1.0,,1.0,K.Osborn,MIN,263,193,12,11,0.1444866920152091,0.0051813471502590676,,
124,00-0030035,59.0,1.0,5.0,536.0,9.084745762711865,141.0,-61.10800238727097,1.0,2.0,,,,,A.Thielen,MIN,263,193,12,11,0.22433460076045628,0.0051813471502590676,0.4166666666666667,
125,00-0036322,64.0,7.0,3.0,707.0,11.222222222222221,209.0,-11.363021226017738,,,,,11.57069057226181,,J.Jefferson,MIN,263,193,12,11,0.24334600760456274,,0.25,
126,00-0029604,,,,,,,,9.0,8.555555555555555,1.0,3.0,2.4719996578418293,0.3333333333333333,K.Cousins,MIN,263,193,12,11,,0.046632124352331605,,0.09090909090909091
127,00-0036011,1.0,,,9.0,9.0,8.0,4.7507136627682485,,,,,,,B.Price,DET,295,183,16,17,0.003389830508474576,,,
128,00-0032626,2.0,,,20.0,10.0,0.0,0.0,,,,,,,G.Allison,DET,295,183,16,17,0.006779661016949152,,,
129,00-0035544,2.0,,,27.0,13.5,11.0,6.456022831553128,,,,,,,T.Kennedy,DET,295,183,16,17,0.006779661016949152,,,
130,00-0034171,2.0,,,1.0,0.5,4.0,-2.8373784444847843,,,,,,,J.Cabinda,DET,295,183,16,17,0.006779661016949152,,,
131,00-0032160,3.0,,,13.0,4.333333333333333,8.0,-1.2320320816943422,,,,,,,T.Williams,DET,295,183,16,17,0.010169491525423728,,,
132,00-0034614,3.0,,,8.0,2.6666666666666665,32.0,16.851912853322574,3.0,6.0,,,,,G.Igwebuike,DET,295,183,16,17,0.010169491525423728,0.01639344262295082,,
133,00-0036670,4.0,,,2.0,0.5,21.0,-6.6577450855911575,2.0,3.0,1.0,,,,J.Jefferson,DET,295,183,16,17,0.013559322033898305,0.01092896174863388,,0.058823529411764705
134,00-0029738,5.0,,,24.0,4.8,27.0,7.352061363591929,,,,,,,D.Fells,DET,295,183,16,17,0.01694915254237288,,,
135,00-0034854,15.0,,1.0,164.0,11.714285714285714,9.0,-21.957893828395754,,,,,,,K.Hodge,DET,295,183,16,17,0.05084745762711865,,0.0625,
136,00-0034930,15.0,1.0,,128.0,8.533333333333333,31.0,2.2673022426388343,,,,,,,T.Benson,DET,295,183,16,17,0.05084745762711865,,,
137,00-0033948,18.0,,,2.0,0.1111111111111111,106.0,-16.694521785611872,71.0,4.394366197183099,6.0,8.0,,0.11267605633802817,J.Williams,DET,295,183,16,17,0.061016949152542375,0.3879781420765027,,0.35294117647058826
138,00-0036277,23.0,2.0,3.0,251.0,11.409090909090908,95.0,21.616600459936308,,,,,,,Q.Cephus,DET,295,183,16,17,0.07796610169491526,,0.1875,
139,00-0036963,39.0,,4.0,299.0,7.868421052631579,105.0,-26.643977485095093,,,,,,,A.St. Brown,DET,295,183,16,17,0.13220338983050847,,0.25,
140,00-0032464,40.0,2.0,1.0,445.0,11.125,139.0,10.265566860296527,2.0,5.0,,,,,K.Raymond,DET,295,183,16,17,0.13559322033898305,0.01092896174863388,0.0625,
141,00-0036275,57.0,,3.0,6.0,0.10526315789473684,434.0,90.29030314169358,90.0,3.2111111111111112,8.0,9.0,,0.1,D.Swift,DET,295,183,16,17,0.19322033898305085,0.4918032786885246,0.1875,0.47058823529411764
142,00-0035229,66.0,1.0,4.0,458.0,7.15625,172.0,-54.79348702690914,,,,,,,T.Hockenson,DET,295,183,16,17,0.22372881355932203,,0.25,
143,00-0035040,,,,,,,,1.0,6.0,,,,,D.Blough,DET,295,183,16,17,,0.00546448087431694,,
144,00-0035327,,,,,,,,1.0,28.0,,1.0,,1.0,C.Moore,DET,295,183,16,17,,0.00546448087431694,,
145,00-0033106,,,,,,,,13.0,5.846153846153846,2.0,3.0,0.7409557132984941,0.23076923076923078,J.Goff,DET,295,183,16,17,,0.07103825136612021,,0.11764705882352941
146,00-0035156,,,,,,,,,,,,35.35085916519165,,J.Fox,DET,295,183,16,17,,,,
147,00-0032450,1.0,,,2.0,2.0,4.0,-2.0757314676156966,1.0,5.0,,,,,D.Washington,NO,182,210,15,18,0.005494505494505495,0.004761904761904762,,
