,player_id,week,targets_wk,red_zone_targets_wk,deep_targets_wk,air_yards_per_target_wk,carries_wk,red_zone_carries_wk,yards_per_carry_wk,team,targets_wk_team,carries_wk_team,target_percentage_wk,carry_percentage_wk,player_name
40,00-0036650,4,,,,,11.0,1.0,2.8181818181818183,LAC,38,32,,0.34375,L.Rountree
41,00-0034867,6,1.0,,1.0,35.0,,,,DAL,50,31,0.02,,M.Turner
42,00-0033591,6,2.0,,,10.5,,,,DAL,50,31,0.04,,N.Brown
43,00-0033658,6,2.0,1.0,,8.5,,,,DAL,50,31,0.04,,B.Jarwin
44,00-0035261,6,4.0,1.0,,2.0,10.0,,4.1,DAL,50,31,0.08,0.3225806451612903,T.Pollard
45,00-0034383,6,6.0,,,7.333333333333333,,,,DAL,50,31,0.12,,D.Schultz
46,00-0034418,6,7.0,,,8.428571428571429,,,,DAL,50,31,0.14,,C.Wilson
47,00-0031544,6,8.0,,2.0,16.625,,,,DAL,50,31,0.16,,A.Cooper
48,00-0033045,6,9.0,,,0.4444444444444444,17.0,2.0,4.0588235294117645,DAL,50,31,0.18,0.5483870967741935,E.Elliott
49,00-0036358,6,11.0,1.0,,10.636363636363637,1.0,,2.0,DAL,50,31,0.22,0.03225806451612903,C.Lamb
50,00-0033077,6,,,,,3.0,2.0,3.3333333333333335,DAL,50,31,,0.0967741935483871,D.Prescott
51,00-0032009,4,1.0,,,11.0,,,,WAS,34,28,0.029411764705882353,,A.Humphries
52,00-0031763,4,1.0,,,18.0,,,,WAS,34,28,0.029411764705882353,,D.Carter
53,00-0036755,4,1.0,,,2.0,2.0,,0.5,WAS,34,28,0.029411764705882353,0.07142857142857142,J.Patterson
54,00-0036626,4,2.0,,,14.5,,,,WAS,34,28,0.058823529411764705,,D.Brown
55,00-0036328,4,2.0,,,-3.5,14.0,1.0,4.5,WAS,34,28,0.058823529411764705,0.5,A.Gibson
56,00-0033282,4,4.0,,,-1.25,,,,WAS,34,28,0.11764705882352941,,C.Samuel
57,00-0033611,4,5.0,1.0,,7.75,,,,WAS,34,28,0.14705882352941177,,R.Seals-Jones
58,00-0032602,4,5.0,,,-0.2,8.0,3.0,2.142857142857143,WAS,34,28,0.14705882352941177,0.2857142857142857,J.McKissic
59,00-0035659,4,13.0,1.0,2.0,16.692307692307693,,,,WAS,34,28,0.38235294117647056,,T.McLaurin
60,00-0031800,4,,,,,4.0,,11.0,WAS,34,28,,0.14285714285714285,T.Heinicke
61,00-0034857,6,1.0,1.0,,,9.0,3.0,2.888888888888889,BUF,46,23,0.021739130434782608,0.391304347826087,J.Allen
62,00-0031787,6,1.0,,1.0,30.0,,,,BUF,46,23,0.021739130434782608,,J.Kumerow
63,00-0035308,6,1.0,1.0,,1.0,,,,BUF,46,23,0.021739130434782608,,T.Sweeney
64,00-0033466,6,1.0,,,0.0,1.0,,5.0,BUF,46,23,0.021739130434782608,0.043478260869565216,I.McKenzie
65,00-0036196,6,2.0,,,6.5,,,,BUF,46,23,0.043478260869565216,,G.Davis
66,00-0035689,6,3.0,,,1.3333333333333333,,,,BUF,46,23,0.06521739130434782,,D.Knox
67,00-0036251,6,4.0,,,2.75,8.0,1.0,3.0,BUF,46,23,0.08695652173913043,0.34782608695652173,Z.Moss
68,00-0035250,6,5.0,,,-0.8,5.0,,5.4,BUF,46,23,0.10869565217391304,0.21739130434782608,D.Singletary
69,00-0027685,6,8.0,1.0,3.0,22.125,,,,BUF,46,23,0.17391304347826086,,E.Sanders
70,00-0029000,6,9.0,1.0,,6.666666666666667,,,,BUF,46,23,0.1956521739130435,,C.Beasley
